inelasticity,event_no
0.09192061873635071,3307510
0.007569472312024761,3307511
0.08173975095149766,3307512
0.28946135636666825,3307513
0.2021633667358862,3307514
0.46337262233089116,3307515
0.03108860606929076,3307516
0.22821994214306018,3307517
0.6567583159879651,3307518
0.30866094352528584,3307519
0.4312032420542652,3307520
0.07547677026432698,3307521
0.5004111548821921,3307522
0.23241594127827703,3307523
0.7427044784486146,3307524
0.28860151376996745,3307525
0.0510663848441959,3307526
0.13566548396275147,3307527
0.31349048108110866,3307528
0.22082851797920588,3307529
0.23253607365349171,3307530
0.33035524753141265,3307531
0.1686876925682177,3307532
0.3008518543703209,3307533
0.016995197037875664,3307534
0.30573537310049503,3307535
0.2838355175489621,3307536
0.046385084817418765,3307537
0.11889965966632221,3307538
0.17899206405091728,3307539
0.2998845533391996,3307540
0.2021213505572167,3307541
0.4287959237572677,3307542
0.09623092333011618,3307543
0.09847434019785395,3307544
0.7447238866565624,3307545
0.16485663796863792,3307546
0.02014114395515676,3307547
0.2784297813207324,3307548
0.03973721695478305,3307549
0.004450506774893004,3307550
0.0091793119574759,3307551
0.13423562350507068,3307552
0.15734619607629718,3307553
0.29571611307264456,3307554
0.09460580870687785,3307555
0.8432866077688793,3307556
0.29106681276933233,3307557
0.12193788759945212,3307558
0.2004680216701259,3307559
0.09337374179961044,3307560
0.09353358692737057,3307561
0.21923510773798538,3307562
0.1323773192381662,3307563
0.0911429288602692,3307564
0.049907911778586334,3307565
0.0357687696025768,3307566
0.06192211599589237,3307567
0.12257894144727455,3307568
0.02772280626523027,3307569
0.019406620024131738,3307570
0.2584541016351446,3307571
0.6305672425826695,3307572
0.252786844275953,3307573
0.13452581280460385,3307574
0.04106422086867423,3307575
0.08040601593433694,3307576
0.2566265078410863,3307577
0.612585444071516,3307578
0.2263584755042355,3307579
0.7440870410435294,3307580
0.3501643757896358,3307581
0.3882703295063442,3307582
0.3437854955289439,3307583
0.12676634916462715,3307584
0.017654087695664344,3307585
0.1857053800495848,3307586
0.16094049254693021,3307587
0.19821143940513752,3307588
0.718483439991504,3307589
0.5967752407556779,3307590
0.42126125607926057,3307591
0.4665073264462649,3307592
0.13245804706718145,3307593
0.04992083565123362,3307594
0.7630259334704383,3307595
0.08187927583152199,3307596
0.8139935831556213,3307597
0.016148665297555875,3307598
0.270622527853719,3307599
0.24752759252407375,3307600
0.014911758671751874,3307601
0.23215367269353238,3307602
0.008557681747425994,3307603
0.08474193103043015,3307604
0.13444439859647384,3307605
0.39181434327038356,3307606
0.07264332614523983,3307607
0.3025983479746618,3307608
0.12057060323774405,3307609
0.24261563267500152,3307610
0.09052201008949357,3307611
0.7113292717968112,3307612
0.5855040888414453,3307613
0.3458998353949376,3307614
0.06895699414904088,3307615
0.02665401082509533,3307616
0.351505287087426,3307617
0.3357652820655017,3307618
0.014650789935127695,3307619
0.2247019082458087,3307620
0.18818844406075097,3307621
0.17386949307477195,3307622
0.22486996942496207,3307623
0.43891965056268534,3307624
0.060991621005571095,3307625
0.2089697460504707,3307626
0.4925310918575573,3307627
0.06915316180915343,3307628
0.019556020622842896,3307629
0.11077850421664681,3307630
0.22187975398937743,3307631
0.012834128845946258,3307632
0.1362373307648539,3307633
0.13323103135322,3307634
0.5067791322771957,3307635
0.09631559721696681,3307636
0.026959305562755942,3307637
0.02165954294475614,3307638
0.19836508547685794,3307639
0.10580377237439131,3307640
0.12243788407014189,3307641
0.32761293137172387,3307642
0.08421531003779115,3307643
0.8401373995782629,3307644
0.21327553639376873,3307645
0.27069788892880786,3307646
0.0338297188399892,3307647
0.10031607534192466,3307648
0.11775411793091195,3307649
0.295585244706531,3307650
0.15339027635470848,3307651
0.36891684078569664,3307652
0.021677988369327883,3307653
0.4084388431726489,3307654
0.1817172312677996,3307655
0.47617916794478277,3307656
0.1813469825173294,3307657
0.09329485430577134,3307658
1.0,3307659
0.1609261071875011,3307660
0.2344651972292584,3307661
0.5238573133393484,3307662
0.17793714889037415,3307663
0.3555640455958816,3307664
0.3733420096209218,3307665
0.4405362871038925,3307666
0.04801595623830224,3307667
0.15054692985299845,3307668
0.4881097308959781,3307669
0.027192910720698293,3307670
0.17735355349856885,3307671
0.29471653369357154,3307672
0.5652691802509054,3307673
0.005411495929403931,3307674
0.4406515101302828,3307675
0.31667263798709155,3307676
0.287453965059963,3307677
0.2839807898292257,3307678
0.014833095882866854,3307679
0.05708240695674205,3307680
0.02659463954924235,3307681
0.7206021198607944,3307682
0.4362254046288542,3307683
0.09888845825669812,3307684
0.18478364149423854,3307685
0.3943135303028453,3307686
0.09296416920785189,3307687
0.10271315481652765,3307688
0.5955142884039046,3307689
0.09639299030393378,3307690
0.4678573847872084,3307691
0.30520079109270937,3307692
0.024528322722887075,3307693
0.502518936809019,3307694
0.14655876825557945,3307695
0.20895624129555534,3307696
0.30898279837453524,3307697
0.05830348237011851,3307698
0.4037661351354225,3307699
0.16182364272145755,3307700
0.172971172724946,3307701
0.08462121899005592,3307702
0.036444117624407135,3307703
0.18172296020794376,3307704
0.2307133348015581,3307705
0.009169755752223008,3307706
0.36587887907659544,3307707
0.25519631012113275,3307708
0.15995429716366927,3307709
0.5933032030942711,3307710
